assembly_index,lsq_quality,theta_quality,z_theta_quality,all_quality,theta_minus_lsq,z_theta_minus_lsq,all_minus_lsq,all_minus_z_theta
1,0.174041853071452,0.1228321256698845,0.1059476763002221,0.1115813919964627,-0.05120972740156751,-0.0680941767712299,-0.0624604610749893,0.005633715696240604
2,0.2454718945361003,0.2124314685471591,0.1986781320611089,0.1968198449324883,-0.03304042598894119,-0.046793762474991396,-0.048652049603611996,-0.0018582871286206004
3,0.2878996786476986,0.240950693420653,0.2417833851310526,0.2399825995691145,-0.0469489852270456,-0.046116293516646006,-0.04791707907858411,-0.0018007855619381063
4,0.2740937661878099,0.2130252611723431,0.2231857193645376,0.2193438741791761,-0.06106850501546679,-0.050908046823272296,-0.05474989200863378,-0.0038418451853614866
5,0.2529119954188439,0.239098833439365,0.2363607041948997,0.2368473799274291,-0.013813161979478905,-0.016551291223944192,-0.016064615491414802,0.0004866757325293902
6,0.9699596607372004,0.8254177482851405,0.8097230119111964,0.8042289433823568,-0.14454191245205994,-0.16023664882600397,-0.16573071735484357,-0.005494068528839602
7,0.641586566529351,0.5400818118629984,0.565087168216597,0.5585002888087636,-0.10150475466635256,-0.07649939831275399,-0.08308627772058741,-0.006586879407833424
8,0.6947578963013171,0.5881348119550651,0.5898469614721695,0.5865775908186206,-0.106623084346252,-0.1049109348291476,-0.10818030548269653,-0.003269370653548931
9,0.1684674799677653,0.1720503218396497,0.1651339843921994,0.1688083596065773,0.0035828418718844013,-0.0033334955755658924,0.00034087963881201944,0.003674375214377912
10,0.135896723793046,0.1353174127811563,0.1311017028014068,0.1336710605032516,-0.0005793110118896827,-0.004795020991639198,-0.0022256632897943995,0.002569357701844799
11,0.5196958522030517,0.4249749454196228,0.4282035074022297,0.4287083014996741,-0.09472090678342893,-0.09149234480082202,-0.0909875507033776,0.0005047940974444165
12,0.6538498305922279,0.5812045248233063,0.573552315964451,0.5762781894240343,-0.07264530576892159,-0.0802975146277769,-0.0775716411681936,0.0027258734595833056
13,0.1926793581425311,0.1326055413154196,0.1106701505063706,0.1101022121134729,-0.06007381682711149,-0.0820092076361605,-0.08257714602905819,-0.0005679383928976905
14,0.2514051570227361,0.2456113391164336,0.2594983890458063,0.255639166173265,-0.005793817906302484,0.008093232023070218,0.004234009150528906,-0.0038592228725413125
15,0.7779171145300069,0.668349077498562,0.6856415878245951,0.6782363801968754,-0.10956803703144491,-0.09227552670541184,-0.09968073433313152,-0.007405207627719679
16,0.2918129153792297,0.2698690692822492,0.263393369735482,0.26042439998315,-0.021943846096980524,-0.028419545643747712,-0.03138851539607973,-0.002968969752332018
17,0.4906792964511085,0.4241405091756186,0.4374723280840442,0.4312373989255483,-0.06653878727548995,-0.053206968367064345,-0.05944189752556023,-0.006234929158495883
18,0.4346325106889045,0.4110699410800417,0.3796301900168365,0.3918924066140248,-0.023562569608862827,-0.055002320672068006,-0.042740104074879715,0.012262216597188291
19,0.3249499811367982,0.2983875777268893,0.3024576767121834,0.3032715161456703,-0.026562403409908897,-0.022492304424614806,-0.02167846499112791,0.0008138394334868959
20,0.7454335571639249,0.6463747025531809,0.6394562789231708,0.6343612335805664,-0.09905885461074404,-0.10597727824075409,-0.1110723235833585,-0.0050950453426044096
21,0.3365143060345402,0.2675166563884834,0.2749248108274223,0.2697065637153741,-0.06899764964605681,-0.06158949520711787,-0.06680774231916609,-0.005218247112048213
22,0.2374740957050316,0.1736432389633312,0.1601728916313187,0.1552932859145707,-0.06383085674170041,-0.07730120407371291,-0.08218080979046091,-0.004879605716748003
