assembly_index,component_index,method,pre_quality,post_quality,z_adj_mm,theta_adj_deg,locator_offset_mm,applied_delta_z_mm,applied_delta_theta_deg,applied_delta_locator_mm,utilization,reference_success,reference_evaluations
1,1,ZERO,0.9989437406021741,0.9989437406021741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
1,1,LSQ,0.9989437406021741,0.15979441565878874,0.35138301859064663,-0.07544024380215103,-0.17239595960037202,0.0,0.0,0.0,0.17239595960037202,,0
1,1,LSQ_PLUS_ML_THETA,0.9989437406021741,0.1668501551749533,0.35138301859064663,-0.07215456023608764,-0.17239595960037202,0.0,0.003285683566063388,0.0,0.17239595960037202,,0
1,1,LSQ_PLUS_ML_Z_THETA,0.9989437406021741,0.1559422579009052,0.3007728426194966,-0.07215456023608764,-0.17239595960037202,-0.05061017597115003,0.003285683566063388,0.0,0.17239595960037202,,0
1,1,LSQ_PLUS_ML_ALL,0.9989437406021741,0.15576094690549258,0.3007728426194966,-0.07215456023608764,-0.09453287583973244,-0.05061017597115003,0.003285683566063388,0.07786308376063958,0.12030913704779864,,0
1,1,DIRECT_NONLINEAR_REFERENCE,0.9989437406021741,0.1424971011496906,0.32587767168527865,-0.07415065393354232,-0.2195985087704719,-0.025505346905367987,0.0012895898686087065,-0.04720254917009989,0.2195985087704719,False,683
1,2,ZERO,0.45531390466486543,0.45531390466486543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
1,2,LSQ,1.023664746714411,0.4638427081434609,-0.008414920849554782,0.10604504620439135,-0.08175735827686015,0.0,0.0,0.0,0.0883708718369928,,0
1,2,LSQ_PLUS_ML_THETA,0.9907782562458314,0.3492519434689876,-0.008414920849554763,0.0867577640038531,-0.08175735827686016,0.0,-0.015624195957595274,0.0,0.08175735827686016,,0
1,2,LSQ_PLUS_ML_Z_THETA,1.0049434940503776,0.35887776068936394,0.06229503366738222,0.08700078436490549,-0.08175735827686012,0.014337407129807363,-0.01537071412250432,0.0,0.08175735827686012,,0
1,2,LSQ_PLUS_ML_ALL,1.0056358027174546,0.35583620468758065,0.05597947072336666,0.08684850417563676,-0.15650034029703958,0.008021844185791785,-0.01552299431177305,0.011985433654700173,0.15650034029703958,,0
1,2,DIRECT_NONLINEAR_REFERENCE,1.017342448155441,0.27638307639273035,0.030546629972352128,0.0774382144267627,-0.07953196043157004,0.010552217136372107,-0.027163698116789495,-0.0503515373031198,0.07953196043157004,False,1167
1,3,ZERO,0.4632046020108238,0.4632046020108238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
