assembly_index,method,final_quality,final_mean_gap,final_max_gap,final_parallelism,final_rms
1,ZERO,1.2499852005590193,1.2027715995934216,1.6740139667269542,0.8776764112312256,1.2364660729353885
1,LSQ,0.17404185307145204,0.08588793046206158,0.28229301999285483,0.17728275365156054,0.1040274183950896
1,LSQ_PLUS_ML_THETA,0.12283212566988452,0.08089791661138251,0.2351512572506157,0.060656398700319525,0.09820453901189208
1,LSQ_PLUS_ML_Z_THETA,0.10594767630022217,0.0702788333220912,0.18863077196735056,0.06582798233558793,0.08526400012713262
1,LSQ_PLUS_ML_ALL,0.11158139199646273,0.071181751247445,0.1953827729810706,0.07687949609766138,0.08548185898609643
1,DIRECT_NONLINEAR_REFERENCE,0.08281950723648229,0.07161568449704873,0.17564430898378386,8.458212192724579e-06,0.08638971728574715
2,ZERO,0.6386402617809159,0.45069487991918805,1.1774429514321558,0.324473275017393,0.5285692987029493
2,LSQ,0.2454718945361003,0.1516744007257422,0.42220978894987116,0.1847484313082562,0.17882108240939443
2,LSQ_PLUS_ML_THETA,0.21243146854715916,0.15271229638031045,0.40025231560093044,0.09663554793154305,0.17551420573323998
2,LSQ_PLUS_ML_Z_THETA,0.19867813206110893,0.1071638990075173,0.3990067660060353,0.10981315361685501,0.13882986471986655
2,LSQ_PLUS_ML_ALL,0.19681984493248833,0.10165840183103582,0.4025637366351059,0.10667882667421857,0.13549555390380255
2,DIRECT_NONLINEAR_REFERENCE,0.14692110857789994,0.11892504651951966,0.32309364180873956,1.1521399401193122e-07,0.1431546751522397
3,ZERO,2.3440807438662286,1.9284928670098596,3.1276021486341525,2.0581586234185765,2.0980465214745223
3,LSQ,0.28789967864769866,0.1763808164727536,0.4583458679057004,0.2558901808970438,0.20714619065049322
3,LSQ_PLUS_ML_THETA,0.24095069342065303,0.18282131214292327,0.42408349147182756,0.12624918375440997,0.21004497209904793
3,LSQ_PLUS_ML_Z_THETA,0.2417833851310526,0.1830037013162609,0.4228887038911112,0.13033384100353165,0.20915511267781495
3,LSQ_PLUS_ML_ALL,0.23998259956911455,0.18300008480874114,0.41597596836904727,0.13126805034658684,0.20909368511801957
3,DIRECT_NONLINEAR_REFERENCE,0.1990150779682737,0.1930679731752807,0.3969211448494072,8.366649428825923e-09,0.22018340050872526
4,ZERO,2.150866338695177,1.1788475274170669,2.3367148104121873,3.2041346773767763,1.3495723413336838
4,LSQ,0.27409376618780995,0.18647730028509782,0.48109015168458813,0.1732959555309117,0.2183474393763069
4,LSQ_PLUS_ML_THETA,0.21302526117234313,0.18690723831013076,0.4429471160564781,0.008108550875347398,0.2163638959975627
4,LSQ_PLUS_ML_Z_THETA,0.2231857193645376,0.18748956976216574,0.47294208110165653,0.010362642608833239,0.21947431322740957
4,LSQ_PLUS_ML_ALL,0.2193438741791761,0.18765881938993934,0.4702196444120331,0.00046985540710287044,0.21839378416453498
4,DIRECT_NONLINEAR_REFERENCE,0.20241884712879538,0.1901364483938044,0.41175295891943353,1.1988145287578078e-07,0.21851988970388106
5,ZERO,2.48388042124016,1.6636851126745344,2.8690832737471443,3.1192903149613125,1.8826281082526284
5,LSQ,0.25291199541884396,0.17742930226429973,0.4331462768472493,0.16309783757111135,0.20809970414045859
5,LSQ_PLUS_ML_THETA,0.239098833439365,0.18010180857258393,0.4663276152282054,0.08071556378918604,0.20955337162372384
5,LSQ_PLUS_ML_Z_THETA,0.2363607041948997,0.17998796017180768,0.46249439504869894,0.07547797583350116,0.20972604878697404
5,LSQ_PLUS_ML_ALL,0.2368473799274291,0.18036758997711944,0.46559169354789104,0.07363072254684822,0.20970378105871507
